날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,전일대비구분,전일대비,revl_issu_reas,결산년월,매출액증가율,영업이익증가율,순이익증가율,ROE,EPS,주당매출액,BPS,유보율,부채비율,MA5,MA20,MA60,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Volume_MA5,Volume_MA20,Volume_Ratio,Price_Volatility
2019-01-02,38750,39400,39400,38550,7847664,304682.62305,00,0.00,N,상승,50,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38130.0,41132.5,43978.333333333336,68.08510638297872,0.0,0.0,41132.5,45944.904476153824,36320.095523846176,11986733.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-03,37600,38300,38550,37450,12471493,472966.53535,00,0.00,N,하락,-1150,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38130.0,41132.5,43978.333333333336,68.08510638297872,-91.73789173789555,-18.347578347579113,41132.5,45944.904476153824,36320.095523846176,11986733.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-04,37450,37450,37600,36850,14108958,525403.005097,00,0.00,N,하락,-150,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38130.0,41132.5,43978.333333333336,68.08510638297872,-174.53267424777732,-49.584597527618754,41132.5,45944.904476153824,36320.095523846176,11986733.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-07,38750,38000,38900,37800,12748997,490833.16415,00,0.00,N,상승,1300,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38130.0,41132.5,43978.333333333336,68.08510638297872,-133.70770129400626,-66.40921828089625,41132.5,45944.904476153824,36320.095523846176,11986733.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-08,38100,38000,39200,37950,12756554,491578.26975,00,0.00,N,하락,-650,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38130.0,41132.5,43978.333333333336,68.08510638297872,-152.05044098784128,-83.53746282228526,41132.5,45944.904476153824,36320.095523846176,11986733.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-09,39600,38650,39600,38300,17452708,683003.58287,00,0.00,N,상승,1500,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38300.0,41132.5,43978.333333333336,68.08510638297872,-45.03064512417768,-75.83609928266375,41132.5,45944.904476153824,36320.095523846176,13907742.0,13132836.4,1.2346926822297124,2406.202238076911
2019-01-10,39800,40000,40150,39600,14731699,587063.456542,00,0.00,N,상승,200,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,38740.0,41132.5,43978.333333333336,68.08510638297872,55.2843589869517,-49.61200762874066,41132.5,45944.904476153824,36320.095523846176,14359783.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-11,40500,40350,40550,39950,11661063,470286.2789,00,0.00,N,상승,700,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,39350.0,41132.5,43978.333333333336,68.08510638297872,189.0891700827051,-1.8717720864515124,41132.5,45944.904476153824,36320.095523846176,13870204.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-14,40050,40450,40700,39850,11984996,481959.00165,00,0.00,N,하락,-450,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,39610.0,41132.5,43978.333333333336,68.08510638297872,255.86970105421642,49.676522541682075,41132.5,45944.904476153824,36320.095523846176,13717404.0,13132836.4,1.2346926822297124,2406.202238076911
2019-01-15,41100,40050,41100,39850,11492756,468237.87375,00,0.00,N,상승,1050,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,40210.0,41132.5,43978.333333333336,68.08510638297872,389.0354196096305,117.54830195527177,41132.5,45944.904476153824,36320.095523846176,13464644.4,13132836.4,1.2346926822297124,2406.202238076911
2019-01-16,41450,41150,41450,40700,8491595,349967.82495,00,0.00,N,상승,350,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,40580.0,41132.5,43978.333333333336,68.08510638297872,516.8543111318577,197.40950379058896,41132.5,45944.904476153824,36320.095523846176,11672421.8,13132836.4,1.2346926822297124,2406.202238076911
2019-01-17,41950,41700,42100,41450,11736903,491376.805142,00,0.00,N,상승,500,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,41010.0,41132.5,43978.333333333336,68.08510638297872,650.9932795765417,288.1262589477795,41132.5,45944.904476153824,36320.095523846176,11073462.6,13132836.4,1.2346926822297124,2406.202238076911
2019-01-18,42300,42000,42400,41950,11029256,465779.01465,00,0.00,N,상승,350,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,41370.0,41132.5,43978.333333333336,68.08510638297872,776.5894140608216,385.81888997038794,41132.5,45944.904476153824,36320.095523846176,10947101.2,13132836.4,1.2346926822297124,2406.202238076911
2019-01-21,42750,42700,42750,41900,11355701,482175.85135,00,0.00,N,상승,450,,2018-12-31,1.75,9.77,5.12,19.63,6024.0,33458,35342.0,26648.22,36.97,41910.0,41132.5,43978.333333333336,68.08510638297872,902.0383580121998,489.0627835787503,41132.5,45944.904476153824,36320.095523846176,10821242.2,13132836.4,1.2346926822297124,2406.202238076911
